A.PROJ_NO,A.BLK_NO,A.LTH,A.BTH,A.HGT,A.NET_WGT,WKA_CD,DTL_ARNO_CD,IN_OUT_AREA,A.IA_NOW_P_STG,A.IA_NOW_FNDT,LOGI_CHK_DESC,LOGI_CHK_DT,LOGI_UPLOAD_DT,후공정 대기 기간,AF_CODE_DESC,IA_AF_STDT,IA_AF_WKA_NM,IA_AF_WK_CENT_DSC,EXP_PRE_OUTFIT_STDT,A.IA_AF_STDT
 SN2590, S210S,17.6,11.1,8.4,17, HZ02,14, 사내, 중국납품운송(IN),20240116,,,, 3일, 탑재(ERECTION),20240226, 2D, 전략생산팀(건조그룹)건조1과,,
 SN2590, S38GP,29,14,5.7,0, HSG2,1, 사외, 중국납품운송(IN),20240129,,,, 6일, 탑재(ERECTION),20240229, 2D, 전략생산팀(건조그룹)건조1과,,
 SN2590, S38GS,29,14,5.7,0, HSG2,1, 사외, 중국납품운송(IN),20240129,,,, 6일, 탑재(ERECTION),20240229, 2D, 전략생산팀(건조그룹)건조1과,,
 SN2590, S40GP,29,15.2,7.9,0, IC,5, 사내, PE(PRE-ERECTION),20240229,,,, 10일, 탑재(ERECTION),20240304, 2D, 전략생산팀(건조그룹)건조1과,,
 SN2590, S40GS,29,15.2,7.9,0, IA,4, 사내, PE(PRE-ERECTION),20240229,,,, 10일, 탑재(ERECTION),20240304, 2D, 전략생산팀(건조그룹)건조1과,,
 SN2590, S620P,16.5,17.4,5.9,28, PB05,1, 사내, TURN OVER,20240202, 선행의장,20240126,20240130, -2일, 도장(Paint),20240221, PT4, 선행도장부선행도장3과,,
 SN2590, S620S,16.5,17.4,5.9,27, 3R31,3, 사내, 도장(Paint),20240228, 선행의장,20240124,20240130, -2일, TURN OVER,20240221,,,,
 SN2590, S72GP,14.5,15.1,6.5,0, FA,1, 사내, PE(PRE-ERECTION),20240227,,,, 10일, 도장(Paint),20240304, H, 선행도장부선행도장2과,,
 SN2590, S72GS,14.5,15.1,6.5,0, FB,2, 사내, PE(PRE-ERECTION),20240227,,,, 10일, 도장(Paint),20240304, 3K, 선행도장부선행도장1과,,
 SN2590, T17GC,24.4,36.8,3.1,0, HNC,7, 사내, 중국납품운송(IN),20240216,,,, 0일, 탑재(ERECTION),20240223, 2D, 전략생산팀(건조그룹)건조1과,,
 SN2590, W820P,20,3.5,1.3,19, PB00,3, 사내, 내업의장,20240214,,,, -2일, 도장(Paint),20240221, H, 선행도장부선행도장2과,,
 SN2590, W820S,20,3.5,1.3,19, 3P,4, 사내, 내업의장,20240214,,,, -2일, 도장(Paint),20240221, 3K, 선행도장부선행도장1과,,
 SN2591, A311C,4.8,15.1,3.8,21, VA,11, 사내, 내업의장,20240201,,,, -17일, 대조립(ASSEMBLY),20240206, C2, [가상]전략생산팀(가공그룹)조립2과,,
 SN2591, A312C,4.7,15,3.7,17, VA,11, 사내, 내업의장,20240201,,,, -17일, 대조립(ASSEMBLY),20240206, C2, [가상]전략생산팀(가공그룹)조립2과,,
 SN2591, A411P,6.2,4.3,4.3,3, UF,2, 사내, 내업의장,20240214,,,, -9일, 대조립(ASSEMBLY),20240214, N1, [가상]전략생산팀(가공그룹)조립3과,,
 SN2591, A411S,6.2,6.6,4.3,3, A4,9, 사내, 내업의장,20240206,,,, -9일, 대조립(ASSEMBLY),20240214, N1, [가상]전략생산팀(가공그룹)조립3과,,
 SN2591, A421P,5.1,4.7,4.9,7, UF,2, 사내, 내업의장,20240215,,,, -3일, 대조립(ASSEMBLY),20240220, N1, [가상]전략생산팀(가공그룹)조립3과,,
 SN2591, A421S,5.1,4.7,4.9,8, JA,5, 사내, 중조(MID ASSEMBLY),20240208,,,, -18일, 내업의장,20240205, S1, 전략생산팀(의장그룹)의장3과,,
 SN2591, B14GP,22.2,15,4.7,0, PT2A,6, 사내, 도장(Paint),20240304,,,, 11일, 올리기(BLOCK LIFT UP),20240305,,,,
 SN2591, B14GS,22.2,15,4.7,0, 3H,3, 사내, 도장(Paint),20240305,,,, 11일, 올리기(BLOCK LIFT UP),20240305,,,,
 SN2591, B160P,12.9,13.3,2.5,26, RD38,7, 사내, 도장(Paint),20240227,,,,, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2591, B160S,12.9,13.3,2.5,26, 3Q,3, 사내, 도장(Paint),20240220, 도장,20240221,20240221,, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2591, B170P,9.2,8,2,12, PT2B,1, 사내, 도장(Paint),20240228,,,,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2591, B170S,9.2,8,2,12, 3R51,9, 사내, 도장(Paint),20240219, 도장,20240220,20240220,, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2591, D15GP,21.5,11.5,5.6,0, FB,3, 사내, PE(PRE-ERECTION),20240214,,,,, 도장(Paint),20240227, FPS, 선행도장부선행도장3과,,
 SN2591, D15GS,21.5,11.5,5.6,0, FA,3, 사내, PE(PRE-ERECTION),20240219,,,,, 도장(Paint),20240226, 3K, 선행도장부선행도장1과,,
 SN2591, D17GC,21.5,14.1,5.6,0, OC,4, 사내, PE(PRE-ERECTION),20240228,,,,, 올리기(BLOCK LIFT UP),20240315,,,,
